FID;objectid;tur_id;alt_tur_id;adi;ilce_id;mah_id;csbm_id;adres;poi_id;derece;ncsbm_id;url
0;416;91;338;Açýk Otopark;2063;50193;16339368; ;24163;6;0; 
1;840;91;338;Belde AÞ Gebze Açýk Otopark;1338;50275;16840332; ;21782;5;0; 
2;854;91;338;Özler Açýk Otopark;1338;50275;99858177; ;21783;6;0; 
3;920;91;338;Yýldýz Otopark;2062;50169;86142460;Veliahmet Mah. Hacý Kasým Sokaðý;3363;6;48639926; 
4;922;91;338;Çamlýk Otopark;2062;50169;26193805;Veliahmet Mah. Kertil Teke Sokaðý;3365;6;49229818; 
5;923;91;338;Nigiz Otopark;2062;50149;43792845;Cedit Mah. Turan Güneþ Caddesi;3368;6;56728447; 
6;924;91;338;Hastane Otopark;2062;50149;73342685;Cedit Mah. Sýra Kavaklar Sokaðý;3369;6;75283960; 
7;925;91;338;Uygun Otopark;2062;50149;88387857;Cedit Mah. Bostanlar Sokaðý;3370;6;26466458; 
8;1089;91;338;Milli Ýrade Meydaný Otoparký;2062;50159;22478564; ;21738;5;0; 
9;1745;91;338;Gebze Kamyon Garajý;1338;50270;36103935; ;23651;6;0; 
10;2276;91;338;1071 Anadolu Kongre Merkezi Otoparký;2030;50420;62567011; ;21711;6;0; 
11;2298;91;338;Hisar Otopark;2062;50149;79032413;Cedit Mh. Hisar Geçidi Sk.  Ýzmit /KOCAELÝ;21281;6;45521309; 
12;2299;91;338;Huzur Otopark;2062;50149;13247408;Cedit Mh. Sýrakavaklar Sk.  Ýzmit /KOCAELÝ;21283;6;16460313; 
13;2301;91;338;Ýlkeli Otopark;1355;50343;11577392;Merkez Mh. 42.Sk.  Gölcük/KOCAELÝ;21287;6;53097077; 
14;2304;91;338;Mavi Deniz Otopark;2062;50156;85368603;Karabaþ Mh. Leyla Atakan Cd. No:14 Ýzmit /KOCAELÝ;21240;6;20761433; 
15;2310;91;338;Tepecik Otopark;2062;50165;81843989;Tepecik Mh. Tepecik Sk. No:7  Ýzmit /KOCAELÝ;21282;6;11483302; 
16;2873;91;338;Ormanya Otopark;2063;50264;27875517; ;23861;5;0; 
17;2895;91;338;KOÜ Ücretli Otopark;2062;182329;48489520; ;21793;6;0; 
18;3907;91;338;Symbol AVM Ücretli Otopark;2058;50200;27875517; ;22521;6;0; 
19;4604;91;338;Kartepe Otopark;2063;50226;17068339;Petrol Mah. Doðanlar Sokaðý;6774;6;27759406; 
20;4605;91;338;Otopark Açýk;2062;50142;73459372;YENÝÞEHÝR MAH. BOSTANLI SOKAK NO: - ÝZMÝT;4798;6;83584599; 
21;4641;91;338;Gülen Otopark;1338;50274;65173403;Gaziler Mah. Gaziler Cadesi;6763;6;67354936; 
22;4703;91;338;Güzel Tekin Otopark;2063;50193;51968592;Ýstasyon Mah. Sanayi Caddesi;4575;6;89285357; 
23;4723;91;338;Þener Otopark;1338;50285;79500211;Sultan Orhan Mah. 1122 Sk. Gebze/KOCAELÝ;21258;6;64440241; 
24;4734;91;338;Sarpet Otopark;2062;50156;11978236;Karabaþ Mh. Köseoðlu Sk. Ýzmit /KOCAELÝ;21243;6;12966925; 
25;4735;91;338;Baþer Otopark;2062;50156;11978236;Karabaþ Mh. Köseoðlu Sk.No:24 Ýzmit /KOCAELÝ;21244;6;12966925; 
26;4736;91;338;Gültekin Otopark;2062;50151;25228313;Çukurbað Mh. Gülümser Sk. No:2 Ýzmit /KOCAELÝ;21246;6;64226624; 
27;4737;91;338;Aynacý Otopark;2062;50151;88219167;Çukurbað Mh. Gülümser Sk. No:79   Ýzmit /KOCAELÝ;21248;6;80293293; 
28;4738;91;338;Konak Otopark;2062;50157;43820273;Kemal Paþa Mh. Yavuz Sk. No:1 Ýzmit /KOCAELÝ;21249;6;43865633; 
29;4739;91;338;Kölikli Otopark;1338;50285;86104973;Sultan Orhan Mh. 1112/1 Sk. No:6-7-8 Gebze/KOCAELÝ;21252;6;50748144; 
30;4741;91;338;Cumhuriyet Otopark;1338;50276;34956896;Hacý Halil Mah. 1226 Sk. No:7 Gebze/KOCAELÝ;21255;6;21414271; 
31;4742;91;338;Yaman Otopark;1338;50275;90452418;Güzeller Mh. Çeþme Cd. No:22 Gebze/KOCAELÝ;21256;6;95471272; 
32;4746;91;338;Çetin Otopark;2062;50151;25228313;Çukurbað Mh. Gülümser Sk. No26  Ýzmit /KOCAELÝ;21247;6;34796575; 
33;4753;91;338;A. Ufuk Tüfekçioðlu Otopark;1338;50276;38914529;Hacý Halil Mh. Körfez  Cd.  Gebze/KOCAELÝ;21253;6;74765835; 
34;4756;91;338;Ölmezler Otopark;1338;50285;38827804;Sultan Orhan Mh. 111/11 Sk. No:5 Gebze/KOCAELÝ;21250;6;29517273; 
35;4759;91;338;Aktürkoðlu Otopark;2062;50161;70431424;Ömeraða Mh. Naci Girginsoy Sk. Katlý Otopark Yaný  Ýzmit /KOCAELÝ;21284;6;64274905; 
36;4760;91;338;Kocaeli Otopark;2062;50149;37736824;Cedit Mh. Turan Güneþ Cd. Baðdat Sk. No:3  Ýzmit /KOCAELÝ;21280;6;83815100; 
37;4764;91;338;Güriþ Otopark;1338;50276;99361172;Hacý Halil Mh. Zübeyde Haným Cd. No:.11 Gebze/KOCAELÝ;21292;6;36249910; 
38;4783;91;338;Enka Otopark;2062;50159;26347724;Körfez Mh. Berk Sok. No:5 Ýzmit / KOCAELÝ;21239;6;10161289; 
39;4784;91;338;Darýca Hayvanat Bahçesi Otopark;2060;50335;32338915;Oaman Gazi Mh. Tuzla Cd. No:318 Darýca/KOCAELÝ;21263;5;39143359; 
40;4808;91;338;Kavan-1 Otopark;2062;50156;64668304;Karabaþ Mah. Hürriyet Caddesi;6706;6;58033150; 
41;4809;91;338;Sarpet-1 Otopark;2062;50156;64668304;Karabaþ Mah. Hürriyet Caddesi;6707;6;62181557; 
42;4810;91;338;Kaplan Otopark;2062;50161;89211478;Ömeraða Mah. Alemdar Caddesi;6730;6;64565047; 
43;4811;91;338;Kaya Seheri Otoparký;2062;50161;43820273;Ömeraða Mah. Þahabettin Bilgisu Cad.;6731;6;72203250; 
44;4812;91;338;Migros Otopark;2062;50161;93985323;Ömeraða Mah. Cemil Karakadýlar Caddesi;6733;6;67918425; 
45;4834;91;338;Aktürkoðlu Otopark;2062;50161;43820273;Ömeraða Mah. Þahabettin Bilgisu Cad.;6732;6;86726155; 
46;4835;91;338;Koçak Elçi Otopark;2062;50161;38414264;Ömeraða Mah. Naci Girginsoy Sokaðý;6729;6;14161913; 
47;4910;91;338;Açýk Otopark;2063;50255;10475671;DERBENT MAH. ADACIK SOKAK NO: - KARTEPE;6682;6;33607821; 
48;4913;91;338;Otopark;2063;50260;73155236;MAÞUKÝYE MAH. ARDIÇLI SOKAK NO: - KARTEPE;4684;6;89974257; 
49;5423;91;338;Kölikli-2 Otopark;1338;50285;82700949;Sultan Orhan Mah. 1125. Sokak;6700;6;28072791; 
50;5430;91;338;Otopark;1440;50376;59632307;4 TEMMUZ MAH. 2312. SOKAK NO: - KARAMÜRSEL;6658;6;84242262; 
51;5589;91;338;Asum Otopark;2060;50335;49710858;Osman Gazi Mah. Kuþtepe Caddesi;6713;6;35131721; 
52;5861;91;338;KOÜ Otopark;2062;182329;48489520;KABAOÐLU MAH. PROF BAKÝ KOMSUOÐLU BULVAR NO: - ÝZMÝT;4582;6;23500259; 
53;6685;91;338;Beytepe Otopark;1338;50283;27441583;Osman Yýlmaz Mh. 608/1 Sk. Gebze/KOCAELÝ;21251;6;77166098; 
54;6687;91;338;Çakýr Otopark;2062;50149;88387857;Cedit Mh. Boztanlar Sk. Ýzmit /KOCAELÝ;21241;6;94127933; 
55;6688;91;338;Fýrat Otopark;2062;50156;50758739;Karabaþ Mh. Cebesoy Sk. No:6  Ýzmit /KOCAELÝ;21245;6;40817355; 
56;6689;91;338;Günsa Otopark;1338;50269;39286760;Arapçeþme  Mh. Kavak Cd. No:8 Gebze/KOCAELÝ;21259;6;68893569; 
57;6690;91;338;Belde AÞ ÝÞOT Otopark;2062;50141;87412706;Yahyakaptan Mh. Seyman Cd. Ýzmit Þehirlerarasý Terminal Ýçi  Ýzmit /KOCAELÝ;21285;5;81158222; 
58;6702;91;338;VS Otopark;1338;50276;68488725;Hacý Halil Mh. 1204.Sk. No:5 Gebze/KOCAELÝ;21291;6;50378827; 
59;6799;91;338;KBB Ücretli Otopark;2062;50161;43820273;ÖMERAÐA MAH. ÞAHABETTÝN BÝLGÝSU CADDE  ÝZMÝT;21483;5;86726155; 
60;7534;91;338;Zevk Otopark;1338;50276;66864125;Hacýhalil Mah. Çeþme Caddesi;6590;6;88265343; 
61;7599;91;338;Baydemars Otopark;1338;0;23339567;Organize Sanayi Bölgesi Mah. Atatürk Caddesi;6779;6;27361385; 
62;7657;91;338;Karagöz Otopark;1338;50276;66864125;Hacýhalil Mah. Hürriyet Caddesi;3358;6;16336414; 
63;7663;91;338;Yaðmur Otopark;1338;50276;53135950;Hacýhalil Mah. 1209/2. Sokak;3360;6;16524464; 
64;7751;91;338;Kaymakçý Otopark;1338;50285;25494659;Hacýhalil Mah Hürriyet Caddesi;6696;6;99172561; 
65;7829;91;338;Otopark;2062;50169;86142460;Veliahmet Mah.;3366;6;67253732; 
