FID,objectid,tur_id,alt_tur_id,adi,ilce_id,mah_id,csbm_id,adres,eposta,telefon,fax,onay,poi_id,derece,ncsbm_id,ozel_kateg,url
0,189,91,340,Kobis Tütünçiftlik Sahil,1821,50399,84716190,GÜNEY MAH. SEFA CADDE NO: - KÖRFEZ, ,4441141, ,1,20932,2,38542452, , 
1,321,91,340,Kobis Eskihisar Sahil,1338,593764,10948032,Eskihisar Mah. 3024. Sk. Gebze / Kocaeli, ,4441141, ,1,20931,2,40072225, , 
2,322,91,340,Kobis Outlet Center,2062,50162,32322216,Sanayi Mah. Ömer Türkçakal Blv. Ýzmit / Kocaeli, ,4441141, ,1,20933,2,90044728, , 
3,323,91,340,Kobis Körfez Sanayi,2062,50162,32322216,Sanayi Mah. Ömer Türkçakal Blv. Ýzmit / Kocaeli, ,4441141, ,1,20934,2,56011653, , 
4,324,91,340,Kobis Muhsin Yazýcýoðlu Parký,2062,50142,98288970,Yeniþehir Mah. Ýzmit Kandýra Yolu Cad. Ýzmit / Kocaeli, ,4441141, ,1,20935,2,43730811, , 
5,325,91,340,Kobis Tramvay Terminal,2062,50141,87412706,Yahyakaptan Mah. Seymen Cad. Ýzmit / Kocaeli, ,4441141, ,1,20936,2,17125782, , 
6,1213,91,340,Kobis Ulaþlý Sahil,1355,50368,98955131, , , , ,1,24624,2,0, , 
7,1214,91,340,Kobis Halýdere Sahil,1355,50365,85032183, , , , ,1,24626,2,0, , 
8,1215,91,340,Kobis Ertuðrul Gazi Mah.Kent Meydaný,2063,50226,65564890, , , , ,1,24627,2,0, , 
9,1225,91,340,Kobis Þirintepe,2062,50164,74273129, , ,4441141, ,1,24625,2,0, , 
10,1226,91,340,Kobis Karþýyaka Sahil,2058,50237,62316096, , , , ,1,24628,2,0, , 
11,1246,91,340,Kobis Mehmet Ali Paþa,2062,50139,78708831, , , , ,1,24629,2,0, , 
12,1299,91,340,Kobis Köseköy M.Y.O.,2063,50193,57929507, , , , ,1,24630,2,0, , 
13,1527,91,340,Kobis KOÜ A Kapý,2062,182329,48489520, , , , ,1,24683,2,0, , 
14,1528,91,340,Kobis Gölcük Kent Meydaný,1355,50343,91766337, , , , ,1,24691,2,0, , 
15,1566,91,340,Kobis KOÜ B Kapý,2062,182329,48489520, , , , ,1,24684,2,0, , 
16,1567,91,340,Kobis Ereðli Sahil,1440,50385,45581865, , , , ,1,24692,2,0, , 
17,1620,91,340,Kobis KOÜ Sosyal Tesis,2062,182329,48489520, , , , ,1,24685,2,0, , 
