ADI;ÝLÇE AD;MAHALLE AD
Kuruçeþme Kapalý Pazar Ücretsiz Otopark;Ýzmit;Doðan
Ýzmit Ortaokulu Ücretsiz Otopark;Ýzmit;Veliahmet
Ýzmit Anadolu Ýmam Hatip Lisesi Ücretsiz Otopark;Ýzmit;Ömeraða
Ýzmit Vapur Ýskelesi Ücretsiz Otopark;Ýzmit;Kemalpaþa
Seka Park 1.Etap 1.Doðu Ücretsiz Otopark;Ýzmit;Kozluk
12.Kitap Fuarý Otoparký (800 Araçlýk);Ýzmit;Yenidoðan
Doðu Kýþla Ücretsiz Otopark;Ýzmit;M.Alipaþa
Seka Devlet Hastanesi Ücretsiz Otopark;Ýzmit;Yenidoðan
Baþiskele Belediyesi Ücretsiz Otopark;Baþiskele;Barbaros
Kocaeli Kongre Merkezi Ücretsiz Otopark;Ýzmit;Yenidoðan
Seka Park 1.Etap Otel Yaný Ücretsiz Otopark;Ýzmit;Kozluk
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
NCity AVM Otopark;Ýzmit;Karabaþ
Akçaray Seka Park Duraðý Ücretsiz Otopark;Ýzmit;Kozluk
Eski Tren Garý Önü Ücretsiz Otopark;Ýzmit;Kozluk
Sekasem Ücretsiz Otopark;Ýzmit;Kozluk
Kocaeli Bilim Merkezi Ücretsiz Otopark;Ýzmit;Kozluk
KBB Ulaþým ve Çevre Koruma Dairesi Baþkanlýðý Ücretsiz Otopark;Ýzmit;Kozluk
Seka Park 1.Etap Uçurtma Tepesi Ücretsiz Otopark;Ýzmit;Yenidoðan
Seka Park 2.Etap Ücretsiz Otopark;Ýzmit;Serdar
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
Doðu Kýþla Ücretsiz Otopark;Ýzmit;M.Alipaþa
Kocaeli Þehir Hastanesi Ücretsiz Otopark;Ýzmit;Tavþantepe
Kocaeli Devlet Hastanesi Ücretsiz Otopark;Ýzmit;Cedit
41 Burda AVM Kapalý Otopark;Ýzmit;Sanayi
Seka Devlet Hastanesi Ücretsiz Otopark;Ýzmit;Yenidoðan
41 Burda AVM Açýk Otopark;Ýzmit;Sanayi
Outlet Center Otopark;Ýzmit;Sanayi
Symbol AVM Kapalý Otopark;Baþiskele;Ovacýk
Koçtaþ Açýk Otopark;Baþiskele;Ovacýk
KBB Seka Duraðý Ücretsiz Otopark;Ýzmit;Kozluk
Tren Garý Ücretsiz Otopark;Ýzmit;Kemalpaþa
Eski Real Ücretsiz Otopark (Valilik Yaný);Ýzmit;Körfez
Kocaeli Büyükþehir Belediyesi Ücretsiz Otopark;Ýzmit;Karabaþ
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
Seka Park 1.Etap Düðün Salonu Önü Ücretsiz Otopark;Ýzmit;Kozluk
KOÜ Ücretsiz Otopark;Ýzmit;Kabaoðlu
Seka Park Otel Otopark;Ýzmit;Kozluk
Tren Garý Ücretsiz 2 Otopark;Ýzmit;Kozluk
Seka Park 1.Etap 2.Doðu Ücretsiz Otopark;Ýzmit;Kozluk
